Company,TypeName,Inches,Ram,Weight,Price,Touchscreen,Ips,X_res,Y_res,ppi,Cpu brand,first,second,Layer1HDD,Layer1SSD,Layer1Hybrid,Layer1Flash_Storage,Layer2HDD,Layer2SSD,Layer2Hybrid,Layer2Flash_Storage,Gpu brand,os
Apple,Ultrabook,13.3,8,1.37,71378.6832,0,1,2560,1600,226.983004681061,Intel Core i5,128 SSD,0,0,1,0,0,0,0,0,0,Intel,Mac
Apple,Ultrabook,13.3,8,1.34,47895.5232,0,0,1440,900,127.677940133097,Intel Core i5,128 Flash Storage,0,0,0,0,1,0,0,0,0,Intel,Mac
HP,Notebook,15.6,8,1.86,30636,0,0,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Others/No OS/Linux
Apple,Ultrabook,15.4,16,1.83,135195.336,0,1,2880,1800,220.534623866258,Intel Core i7,512 SSD,0,0,1,0,0,0,0,0,0,AMD,Mac
Apple,Ultrabook,13.3,8,1.37,96095.808,0,1,2560,1600,226.983004681061,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Mac
Acer,Notebook,15.6,4,2.1,21312,0,0,1366,768,100.454669861137,AMD Processor,500 HDD,0,1,0,0,0,0,0,0,0,AMD,Windows
Apple,Ultrabook,15.4,16,2.04,114017.6016,0,1,2880,1800,220.534623866258,Intel Core i7,256 Flash Storage,0,0,0,0,1,0,0,0,0,Intel,Mac
Apple,Ultrabook,13.3,8,1.34,61735.536,0,0,1440,900,127.677940133097,Intel Core i5,256 Flash Storage,0,0,0,0,1,0,0,0,0,Intel,Mac
Asus,Ultrabook,14,16,1.3,79653.6,0,0,1920,1080,157.350512148736,Intel Core i7,512 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
Acer,Ultrabook,14,8,1.6,41025.6,0,1,1920,1080,157.350512148736,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
HP,Notebook,15.6,4,1.86,20986.992,0,0,1366,768,100.454669861137,Intel Core i5,500 HDD,0,1,0,0,0,0,0,0,0,Intel,Others/No OS/Linux
HP,Notebook,15.6,4,1.86,18381.0672,0,0,1920,1080,141.211998082199,Intel Core i3,500 HDD,0,1,0,0,0,0,0,0,0,Intel,Others/No OS/Linux
Apple,Ultrabook,15.4,16,1.83,130001.6016,0,1,2880,1800,220.534623866258,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Mac
Dell,Notebook,15.6,4,2.2,26581.392,0,0,1920,1080,141.211998082199,Intel Core i3,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
Apple,Ultrabook,12,8,0.92,67260.672,0,1,2304,1440,226.415547169359,Other Intel Processor,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Mac
Apple,Ultrabook,13.3,8,1.37,80908.344,0,1,2560,1600,226.983004681061,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Mac
Dell,Notebook,15.6,8,2.2,39693.6,0,0,1920,1080,141.211998082199,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
Apple,Ultrabook,15.4,16,1.83,152274.24,0,1,2880,1800,220.534623866258,Intel Core i7,512 SSD,0,0,1,0,0,0,0,0,0,AMD,Mac
Lenovo,Notebook,15.6,8,2.2,26586.72,0,0,1920,1080,141.211998082199,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Others/No OS/Linux
Dell,Ultrabook,13.3,8,1.22,52161.12,1,1,1920,1080,165.632118051301,Intel Core i5,128 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Asus,Netbook,11.6,2,0.98,10224.432,0,0,1366,768,135.094211192563,Other Intel Processor,32 Flash Storage,0,0,0,0,1,0,0,0,0,Intel,Windows
Lenovo,Gaming,15.6,8,2.5,53226.72,0,1,1920,1080,141.211998082199,Intel Core i5,128 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
HP,Notebook,15.6,4,1.86,13746.24,0,0,1366,768,100.454669861137,AMD Processor,500 HDD,0,1,0,0,0,0,0,0,0,AMD,Others/No OS/Linux
Dell,2 in 1 Convertible,13.3,8,1.62,43636.32,1,0,1920,1080,165.632118051301,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
HP,Ultrabook,15.6,8,1.91,35111.52,0,0,1920,1080,141.211998082199,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Dell,Notebook,15.6,4,2.3,22305.1392,0,0,1366,768,100.454669861137,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
Apple,Ultrabook,13.3,8,1.35,58554.72,0,0,1440,900,127.677940133097,Intel Core i5,128 Flash Storage,0,0,0,0,1,0,0,0,0,Intel,Mac
Dell,Notebook,15.6,8,2.2,42624,0,0,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
Dell,Ultrabook,15.6,8,1.88,69157.44,0,0,1920,1080,141.211998082199,Intel Core i7,256 SSD,  256 SSD,0,1,0,0,0,1,0,0,Intel,Windows
HP,Notebook,17.3,8,2.5,47738.88,0,0,1920,1080,127.335674571231,Intel Core i5,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Windows
Chuwi,Notebook,15.6,4,1.89,13053.0672,0,0,1920,1080,141.211998082199,Other Intel Processor,64 Flash Storage,0,0,0,0,1,0,0,0,0,Intel,Windows
Asus,Notebook,14,2,1.65,10602.72,0,0,1366,768,111.935203559552,AMD Processor,32 Flash Storage,0,0,0,0,1,0,0,0,0,AMD,Windows
HP,Notebook,17.3,4,2.71,23389.92,0,0,1920,1080,127.335674571231,AMD Processor,500 HDD,0,1,0,0,0,0,0,0,0,AMD,Windows
Dell,Ultrabook,13.3,16,1.2,99580.32,1,0,3200,1800,276.053530085501,Intel Core i7,512 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Apple,Ultrabook,13.3,8,1.35,53173.44,0,0,1440,900,127.677940133097,Intel Core i5,256 Flash Storage,0,0,0,0,1,0,0,0,0,Intel,Mac
Lenovo,Notebook,14,4,1.44,13266.72,0,0,1366,768,111.935203559552,Other Intel Processor,64 Flash Storage,0,0,0,0,1,0,0,0,0,Intel,Windows
Acer,Notebook,15.6,4,2.1,19553.76,0,0,1366,768,100.454669861137,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Others/No OS/Linux
Dell,Notebook,17.3,8,2.8,52161.12,0,1,1920,1080,127.335674571231,Intel Core i5,128 SSD,  1000 HDD,0,1,0,0,1,0,0,0,AMD,Windows
HP,Notebook,15.6,4,1.86,26037.4032,0,0,1366,768,100.454669861137,Intel Core i5,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Windows
HP,Notebook,15.6,8,2.1,46833.12,0,0,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
Asus,Notebook,15.6,4,2,20725.92,0,0,1920,1080,141.211998082199,Intel Core i3,1000 HDD,0,1,0,0,0,0,0,0,0,Intel,Others/No OS/Linux
Dell,Gaming,15.6,16,2.65,79866.72,0,1,1920,1080,141.211998082199,Intel Core i7,256 SSD,  1000 HDD,0,1,0,0,1,0,0,0,Nvidia,Windows
Asus,Notebook,15.6,8,2.3,27864.9072,0,0,1366,768,100.454669861137,Intel Core i5,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Others/No OS/Linux
Acer,Notebook,15.6,4,2.2,36336.96,0,1,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
Dell,2 in 1 Convertible,17.3,12,2.77,53226.72,1,0,1920,1080,127.335674571231,Intel Core i5,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Windows
Apple,Ultrabook,13.3,8,1.37,75604.32,0,1,2560,1600,226.983004681061,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,Intel,Mac
Lenovo,Notebook,15.6,4,2.2,19660.32,0,0,1366,768,100.454669861137,Intel Core i3,128 SSD,0,0,1,0,0,0,0,0,0,Intel,Others/No OS/Linux
Asus,Gaming,17.3,8,3.2,69210.72,0,0,1920,1080,127.335674571231,AMD Processor,256 SSD,  1000 HDD,0,1,0,0,1,0,0,0,AMD,Windows
Dell,Notebook,15.6,4,2.3,34045.92,0,0,1920,1080,141.211998082199,Intel Core i5,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
Asus,Notebook,17.3,4,2.8,24828.48,0,0,1366,768,90.583401724493,Other Intel Processor,1000 HDD,0,1,0,0,0,0,0,0,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,10.1,4,0.69,16996.32,1,1,1920,1200,224.173809078573,Other Intel Processor,64 Flash Storage,0,0,0,0,1,0,0,0,0,Intel,Others/No OS/Linux
Acer,Notebook,15.6,8,2.2,44808.48,0,1,1920,1080,141.211998082199,Intel Core i7,256 SSD,0,0,1,0,0,0,0,0,0,Nvidia,Windows
HP,Notebook,15.6,4,1.86,21231.5472,0,0,1920,1080,141.211998082199,AMD Processor,256 SSD,0,0,1,0,0,0,0,0,0,AMD,Windows
HP,Notebook,13.3,8,1.49,58767.84,0,0,1920,1080,165.632118051301,Intel Core i7,512 SSD,0,0,1,0,0,0,0,0,0,Intel,Windows
